total_2_1edge,total_2_indep,total_3_tris,total_2_star,total_3_1edge,total_3_indep,total_4_clique,total_4_chordcycle,total_4_tailed_tris,total_4_cycle,total_3_star,total_4_path,total_4_1edge,total_4_2edge,total_4_2star,total_4_tri,total_4_indep,filename
20,190,0,86,208,1036,0,0,0,0,240,88,1100,16,652,0,3889,./motifs/730.motifcount
27,183,0,97,319,914,0,0,0,17,173,161,1755,59,837,0,2983,./motifs/731.motifcount
28,182,0,126,280,924,0,0,0,36,270,162,1332,18,990,0,3177,./motifs/732.motifcount
33,177,0,122,383,825,0,0,0,22,203,174,1746,188,1151,0,2501,./motifs/733.motifcount
21,189,0,40,319,971,0,0,0,0,39,64,2120,106,475,0,3181,./motifs/735.motifcount
30,180,0,145,280,905,0,0,0,55,391,148,1387,32,921,0,3051,./motifs/736.motifcount
21,189,1,33,330,966,0,0,6,0,20,51,2244,117,420,12,3115,./motifs/737.motifcount
20,190,0,190,0,1140,0,0,0,0,1140,0,0,0,0,0,4845,./motifs/738.motifcount
20,190,0,58,264,1008,0,0,0,0,86,84,1578,48,618,0,3571,./motifs/739.motifcount
20,190,0,190,0,1140,0,0,0,0,1140,0,0,0,0,0,4845,./motifs/740.motifcount
20,190,0,32,316,982,0,0,0,0,24,48,2168,110,408,0,3227,./motifs/741.motifcount
20,190,0,35,310,985,0,0,0,0,36,50,2108,105,422,0,3264,./motifs/742.motifcount
22,188,2,54,304,970,0,1,1,0,94,68,1868,100,550,33,3270,./motifs/743.motifcount
20,190,0,172,36,1122,0,0,0,0,969,18,153,0,153,0,4692,./motifs/744.motifcount
30,180,0,137,296,897,0,0,0,55,338,160,1536,28,912,0,2956,./motifs/745.motifcount
20,190,0,107,166,1057,0,0,0,0,384,18,608,65,738,0,4172,./motifs/746.motifcount
28,162,0,98,308,734,0,0,0,22,194,96,1438,140,804,0,2151,./motifs/747.motifcount
35,155,0,306,18,816,0,0,0,136,1496,17,0,0,136,0,3060,./motifs/748.motifcount
19,171,0,171,0,969,0,0,0,0,969,0,0,0,0,0,3876,./motifs/749.motifcount
21,169,2,55,262,821,0,1,3,0,95,78,1486,66,486,29,2601,./motifs/750.motifcount
19,171,0,171,0,969,0,0,0,0,969,0,0,0,0,0,3876,./motifs/751.motifcount
19,171,0,171,0,969,0,0,0,0,969,0,0,0,0,0,3876,./motifs/752.motifcount
19,171,0,171,0,969,0,0,0,0,969,0,0,0,0,0,3876,./motifs/753.motifcount
19,171,0,94,154,892,0,0,0,0,276,77,616,0,616,0,3260,./motifs/754.motifcount
19,171,0,37,268,835,0,0,0,0,40,50,1651,84,409,0,2611,./motifs/755.motifcount
19,171,0,115,112,913,0,0,0,0,465,56,448,0,448,0,3428,./motifs/756.motifcount
22,168,0,41,314,785,0,0,0,2,28,60,1872,126,485,0,2272,./motifs/757.motifcount
19,171,0,40,262,838,0,0,0,0,57,55,1621,76,399,0,2637,./motifs/758.motifcount
24,166,1,47,335,757,0,0,4,5,39,56,1916,156,542,13,2114,./motifs/759.motifcount
19,171,0,84,174,882,0,0,0,0,286,61,918,26,448,0,3106,./motifs/760.motifcount
24,166,2,42,342,754,0,0,10,2,19,52,1965,162,525,24,2086,./motifs/761.motifcount
20,170,0,41,278,821,0,0,0,1,42,62,1688,85,443,0,2524,./motifs/762.motifcount
20,170,0,38,284,818,0,0,0,1,32,55,1733,95,436,0,2493,./motifs/763.motifcount
19,171,0,171,0,969,0,0,0,0,969,0,0,0,0,0,3876,./motifs/764.motifcount
19,171,0,171,0,969,0,0,0,0,969,0,0,0,0,0,3876,./motifs/765.motifcount
29,161,0,131,260,749,0,0,0,47,301,160,1192,21,816,0,2308,./motifs/766.motifcount
19,171,0,171,0,969,0,0,0,0,969,0,0,0,0,0,3876,./motifs/767.motifcount
20,170,0,112,136,892,0,0,0,1,456,18,526,58,496,0,3290,./motifs/768.motifcount
19,171,0,139,64,937,0,0,0,0,681,32,256,0,256,0,3620,./motifs/769.motifcount
23,167,2,37,334,767,0,1,1,3,20,49,1984,152,455,31,2149,./motifs/770.motifcount
19,171,0,42,258,840,0,0,0,0,40,53,1500,76,488,0,2688,./motifs/771.motifcount
25,165,4,78,282,776,0,2,21,3,200,111,1629,68,446,43,2322,./motifs/772.motifcount
20,170,0,92,176,872,0,0,0,1,296,22,698,74,628,0,3126,./motifs/773.motifcount
23,167,0,68,278,794,0,0,0,8,102,114,1549,55,590,0,2427,./motifs/774.motifcount
19,171,0,45,252,843,0,0,0,0,51,38,1392,88,536,0,2740,./motifs/775.motifcount
19,171,0,43,256,841,0,0,0,0,41,56,1480,72,496,0,2700,./motifs/776.motifcount
23,167,0,40,334,766,0,0,0,5,20,49,1980,154,502,0,2135,./motifs/777.motifcount
19,171,0,47,248,845,0,0,0,0,85,80,1556,44,384,0,2696,./motifs/778.motifcount
32,158,10,87,372,671,0,10,45,13,109,161,1899,127,668,105,1708,./motifs/779.motifcount
20,170,0,50,260,830,0,0,0,0,86,51,1491,89,490,0,2638,./motifs/780.motifcount
25,165,2,79,286,773,0,1,1,10,150,70,1361,122,709,31,2390,./motifs/781.motifcount
28,162,6,51,384,699,0,5,15,4,28,72,2078,204,583,77,1779,./motifs/782.motifcount
20,170,0,112,136,892,0,0,0,1,456,68,676,8,396,0,3240,./motifs/783.motifcount
30,160,0,132,276,732,0,0,0,47,306,121,1153,88,896,0,2234,./motifs/784.motifcount
20,170,0,33,294,813,0,0,0,1,23,53,1860,102,382,0,2424,./motifs/785.motifcount
19,171,0,171,0,969,0,0,0,0,969,0,0,0,0,0,3876,./motifs/786.motifcount
23,167,0,61,292,787,0,0,0,6,78,81,1586,99,617,0,2378,./motifs/787.motifcount
27,163,0,81,324,735,0,0,0,13,115,94,1568,150,792,0,2113,./motifs/788.motifcount
19,171,0,31,280,829,0,0,0,0,23,48,1786,92,362,0,2534,./motifs/789.motifcount
19,171,0,171,0,969,0,0,0,0,969,0,0,0,0,0,3876,./motifs/790.motifcount
18,153,0,153,0,816,0,0,0,0,816,0,0,0,0,0,3060,./motifs/791.motifcount
18,153,0,153,0,816,0,0,0,0,816,0,0,0,0,0,3060,./motifs/792.motifcount
18,153,0,153,0,816,0,0,0,0,816,0,0,0,0,0,3060,./motifs/793.motifcount
18,153,0,78,150,741,0,0,0,0,230,66,690,9,426,0,2455,./motifs/794.motifcount
23,148,3,37,308,621,0,2,12,1,10,49,1649,140,432,32,1549,./motifs/795.motifcount
18,153,0,153,0,816,0,0,0,0,816,0,0,0,0,0,3060,./motifs/796.motifcount
18,153,0,83,140,746,0,0,0,0,286,60,690,10,350,0,2480,./motifs/797.motifcount
21,150,0,42,273,654,0,0,0,5,31,62,1495,96,435,0,1752,./motifs/798.motifcount
33,138,6,74,395,494,0,6,16,24,40,88,1670,272,748,68,944,./motifs/799.motifcount
22,149,0,63,248,658,0,0,0,10,76,88,1212,60,564,0,1866,./motifs/800.motifcount
31,140,10,52,393,514,0,5,25,12,24,44,1776,280,564,125,1021,./motifs/801.motifcount
18,153,0,153,0,816,0,0,0,0,816,0,0,0,0,0,3060,./motifs/802.motifcount
18,153,0,153,0,816,0,0,0,0,816,0,0,0,0,0,3060,./motifs/803.motifcount
19,152,0,48,227,694,0,0,0,1,68,75,1239,46,410,0,2037,./motifs/804.motifcount
18,153,0,57,192,720,0,0,0,0,125,66,1005,30,405,0,2245,./motifs/805.motifcount
22,149,0,51,272,646,0,0,0,6,42,82,1420,86,502,0,1738,./motifs/806.motifcount
21,150,0,42,273,654,0,0,0,2,29,59,1456,105,459,0,1766,./motifs/807.motifcount
30,141,3,128,245,593,0,0,42,21,350,145,1107,69,540,6,1596,./motifs/808.motifcount
22,149,0,36,302,631,0,0,0,4,16,44,1662,143,424,0,1583,./motifs/810.motifcount
22,149,0,46,282,641,0,0,0,5,42,43,1445,132,504,0,1705,./motifs/811.motifcount
18,153,0,153,0,816,0,0,0,0,816,0,0,0,0,0,3060,./motifs/812.motifcount
19,152,0,43,237,689,0,0,0,1,40,54,1242,72,456,0,2011,./motifs/813.motifcount
19,152,0,43,237,689,0,0,0,1,42,55,1251,71,448,0,2008,./motifs/814.motifcount
20,151,0,72,196,701,0,0,0,3,146,56,810,56,590,0,2215,./motifs/815.motifcount
19,152,0,39,245,685,0,0,0,1,41,59,1380,71,379,0,1945,./motifs/816.motifcount
19,152,0,87,149,733,0,0,0,1,288,50,654,32,424,0,2427,./motifs/817.motifcount
19,152,1,25,270,673,0,0,4,0,7,35,1596,104,301,12,1817,./motifs/818.motifcount
21,150,0,55,247,667,0,0,0,5,88,59,1267,86,478,0,1893,./motifs/819.motifcount
18,153,0,49,208,712,0,0,0,0,66,60,1050,44,466,0,2190,./motifs/820.motifcount
18,153,0,153,0,816,0,0,0,0,816,0,0,0,0,0,3060,./motifs/821.motifcount
20,151,0,34,272,663,0,0,0,2,23,44,1537,108,379,0,1783,./motifs/822.motifcount
30,141,8,80,326,555,0,4,52,25,98,34,1366,187,706,68,1336,./motifs/823.motifcount
19,152,0,30,263,676,0,0,0,1,16,43,1527,96,342,0,1851,./motifs/824.motifcount
18,153,0,39,228,702,0,0,0,0,43,66,1299,48,363,0,2057,./motifs/825.motifcount
25,146,0,118,189,662,0,0,0,28,277,126,693,0,693,0,2059,./motifs/826.motifcount
20,151,2,26,282,659,0,1,1,0,12,38,1640,117,300,29,1738,./motifs/827.motifcount
18,153,0,153,0,816,0,0,0,0,816,0,0,0,0,0,3060,./motifs/828.motifcount
20,151,0,55,230,684,0,0,0,3,77,67,1146,62,503,0,2018,./motifs/829.motifcount
19,152,0,57,209,703,0,0,0,1,87,37,912,75,573,0,2191,./motifs/830.motifcount
18,153,0,39,228,702,0,0,0,0,44,33,1203,81,426,0,2089,./motifs/831.motifcount
20,151,2,35,264,668,0,1,3,0,27,51,1464,93,369,27,1841,./motifs/832.motifcount
19,152,0,52,219,698,0,0,0,1,90,66,1158,51,426,0,2084,./motifs/833.motifcount
18,153,0,33,240,696,0,0,0,0,36,48,1404,72,324,0,1992,./motifs/834.motifcount
18,153,0,30,246,693,0,0,0,0,19,42,1425,81,339,0,1970,./motifs/835.motifcount
18,153,0,45,216,708,0,0,0,0,50,60,1122,48,450,0,2146,./motifs/836.motifcount
18,153,0,39,228,702,0,0,0,0,35,42,1203,72,435,0,2089,./motifs/837.motifcount
18,135,0,40,208,568,0,0,0,1,46,50,1030,61,358,0,1514,./motifs/838.motifcount
17,136,0,31,210,575,0,0,0,0,24,41,1095,64,311,0,1525,./motifs/839.motifcount
17,136,0,136,0,680,0,0,0,0,680,0,0,0,0,0,2380,./motifs/840.motifcount
17,136,0,32,208,576,0,0,0,0,24,48,1088,56,312,0,1532,./motifs/841.motifcount
26,127,3,60,287,466,0,3,4,10,52,89,1223,137,512,35,995,./motifs/842.motifcount
17,136,0,38,196,582,0,0,0,0,40,46,962,52,358,0,1602,./motifs/843.motifcount
23,130,5,50,253,508,1,2,25,0,26,86,1150,70,446,42,1212,./motifs/844.motifcount
18,135,0,41,206,569,0,0,0,1,47,46,993,64,378,0,1531,./motifs/845.motifcount
18,135,0,35,218,563,0,0,0,1,26,46,1098,70,351,0,1468,./motifs/846.motifcount
17,136,0,31,210,575,0,0,0,0,24,43,1101,62,307,0,1523,./motifs/847.motifcount
22,131,0,101,150,565,0,0,0,15,260,100,550,0,475,0,1660,./motifs/848.motifcount
19,134,2,27,244,543,0,1,2,0,14,33,1264,101,291,26,1328,./motifs/849.motifcount
17,136,0,64,144,608,0,0,0,0,168,28,564,44,400,0,1856,./motifs/850.motifcount
21,132,0,43,250,523,0,0,0,6,31,64,1229,91,400,0,1239,./motifs/851.motifcount
18,135,0,73,142,601,0,0,0,1,220,64,670,14,303,0,1788,./motifs/853.motifcount
17,119,1,28,195,456,0,0,6,0,18,42,947,56,249,8,1054,./motifs/854.motifcount
19,134,0,53,198,565,0,0,0,2,90,38,854,76,441,0,1559,./motifs/855.motifcount
19,134,2,72,154,588,0,1,10,0,211,64,728,17,297,18,1714,./motifs/856.motifcount
25,128,0,97,206,513,0,0,0,27,196,116,836,33,527,0,1325,./motifs/857.motifcount
18,135,0,43,202,571,0,0,0,1,61,56,1009,52,346,0,1535,./motifs/858.motifcount
17,136,0,34,204,578,0,0,0,0,38,60,1110,42,276,0,1534,./motifs/859.motifcount
20,133,0,51,218,547,0,0,0,6,60,62,1006,65,437,0,1424,./motifs/860.motifcount
21,132,0,55,226,535,0,0,0,10,65,49,982,86,492,0,1376,./motifs/861.motifcount
17,136,0,44,184,588,0,0,0,0,84,64,980,28,280,0,1624,./motifs/863.motifcount
17,136,0,44,184,588,0,0,0,0,56,60,884,32,372,0,1656,./motifs/864.motifcount
17,136,0,44,184,588,0,0,0,0,67,53,896,39,353,0,1652,./motifs/865.motifcount
21,132,0,59,218,539,0,0,0,10,61,95,996,36,472,0,1390,./motifs/866.motifcount
17,136,0,44,184,588,0,0,0,0,84,64,980,28,280,0,1624,./motifs/867.motifcount
17,136,0,136,0,680,0,0,0,0,680,0,0,0,0,0,2380,./motifs/868.motifcount
17,136,0,136,0,680,0,0,0,0,680,0,0,0,0,0,2380,./motifs/869.motifcount
17,136,0,34,204,578,0,0,0,0,38,55,1095,47,286,0,1539,./motifs/870.motifcount
19,134,0,43,218,555,0,0,0,0,47,48,1019,80,408,0,1458,./motifs/871.motifcount
17,136,0,43,186,587,0,0,0,0,55,45,864,48,390,0,1658,./motifs/872.motifcount
17,136,0,121,30,665,0,0,0,0,560,15,105,0,105,0,2275,./motifs/873.motifcount
18,135,0,85,118,613,0,0,0,1,287,16,391,50,378,0,1937,./motifs/874.motifcount
19,134,2,107,84,623,0,1,13,0,442,40,384,3,171,15,1991,./motifs/876.motifcount
21,115,0,54,207,419,0,0,0,12,48,75,846,57,414,0,928,./motifs/877.motifcount
16,120,0,106,28,546,0,0,0,0,455,14,91,0,91,0,1729,./motifs/878.motifcount
19,117,0,35,215,430,0,0,0,5,19,47,981,79,319,0,930,./motifs/879.motifcount
19,117,0,58,169,453,0,0,0,6,98,45,622,56,404,0,1149,./motifs/880.motifcount
17,119,0,24,207,449,0,0,0,1,9,32,1020,78,241,0,999,./motifs/881.motifcount
16,120,0,57,126,497,0,0,0,0,130,54,510,9,300,0,1377,./motifs/882.motifcount
16,120,0,120,0,560,0,0,0,0,560,0,0,0,0,0,1820,./motifs/883.motifcount
17,119,0,24,207,449,0,0,0,1,11,30,1020,80,239,0,999,./motifs/884.motifcount
16,120,0,120,0,560,0,0,0,0,560,0,0,0,0,0,1820,./motifs/885.motifcount
16,120,0,120,0,560,0,0,0,0,560,0,0,0,0,0,1820,./motifs/886.motifcount
16,120,0,57,126,497,0,0,0,0,130,46,486,17,316,0,1385,./motifs/887.motifcount
16,120,0,21,198,461,0,0,0,0,7,30,1005,69,213,0,1056,./motifs/888.motifcount
25,111,0,124,127,429,0,0,0,45,340,43,310,43,450,0,1149,./motifs/889.motifcount
20,116,0,40,220,420,0,0,0,10,26,29,925,101,384,0,905,./motifs/890.motifcount
16,120,0,31,178,471,0,0,0,0,30,40,844,49,264,0,1153,./motifs/891.motifcount
16,120,0,120,0,560,0,0,0,0,560,0,0,0,0,0,1820,./motifs/892.motifcount
22,114,0,59,212,409,0,0,0,16,62,78,862,62,420,0,880,./motifs/893.motifcount
22,114,4,31,256,389,0,2,5,2,12,44,1125,131,288,47,724,./motifs/894.motifcount
17,119,0,26,203,451,0,0,0,1,14,34,989,74,250,0,1018,./motifs/895.motifcount
16,120,0,48,144,488,0,0,0,0,76,56,588,16,332,0,1312,./motifs/896.motifcount
18,118,0,41,188,451,0,0,0,2,46,66,870,42,296,0,1058,./motifs/897.motifcount
16,120,0,35,170,475,0,0,0,0,41,49,800,36,269,0,1185,./motifs/898.motifcount
18,118,2,43,178,457,0,1,1,0,66,48,750,53,304,25,1132,./motifs/899.motifcount
20,116,4,28,232,416,0,2,6,0,15,45,1076,95,241,46,854,./motifs/900.motifcount
17,119,0,36,183,461,0,0,0,1,40,41,828,57,298,0,1115,./motifs/901.motifcount
22,114,5,33,249,393,0,4,6,0,13,50,1065,119,303,56,764,./motifs/902.motifcount
16,120,0,120,0,560,0,0,0,0,560,0,0,0,0,0,1820,./motifs/903.motifcount
16,120,0,54,132,494,0,0,0,0,105,56,519,10,329,0,1361,./motifs/904.motifcount
16,120,0,46,148,486,0,0,0,0,65,54,601,20,341,0,1299,./motifs/905.motifcount
16,120,0,70,100,510,0,0,0,0,220,24,352,26,272,0,1486,./motifs/906.motifcount
19,117,0,34,217,429,0,0,0,4,19,42,984,87,319,0,925,./motifs/907.motifcount
16,120,0,21,198,461,0,0,0,0,8,30,1008,69,210,0,1055,./motifs/908.motifcount
20,116,0,55,190,435,0,0,0,2,71,74,741,57,401,0,1034,./motifs/909.motifcount
16,120,0,120,0,560,0,0,0,0,560,0,0,0,0,0,1820,./motifs/910.motifcount
20,116,0,42,216,422,0,0,0,4,39,60,957,80,335,0,905,./motifs/911.motifcount
16,120,0,120,0,560,0,0,0,0,560,0,0,0,0,0,1820,./motifs/912.motifcount
26,110,2,62,260,356,0,1,4,10,53,100,964,131,459,22,636,./motifs/913.motifcount
17,119,0,36,183,461,0,0,0,1,31,42,804,56,323,0,1123,./motifs/914.motifcount
26,110,10,60,240,370,0,5,45,0,120,90,1060,90,200,85,685,./motifs/915.motifcount
21,115,2,48,213,417,0,1,6,5,46,56,850,82,388,20,926,./motifs/916.motifcount
27,109,10,84,207,379,3,9,24,18,131,108,687,42,429,86,843,./motifs/917.motifcount
15,105,0,29,152,379,0,0,0,0,24,50,683,26,203,0,834,./motifs/918.motifcount
18,118,0,78,114,488,0,0,0,3,225,36,363,33,333,0,1387,./motifs/919.motifcount
16,120,0,29,182,469,0,0,0,0,25,38,875,53,255,0,1134,./motifs/920.motifcount
23,113,6,84,159,431,0,3,34,2,253,74,703,33,187,44,1047,./motifs/921.motifcount
16,120,0,28,184,468,0,0,0,0,23,46,919,46,231,0,1115,./motifs/922.motifcount
18,118,2,43,178,457,0,1,7,0,77,62,855,33,231,19,1095,./motifs/923.motifcount
16,120,0,42,156,482,0,0,0,0,66,56,714,22,278,0,1244,./motifs/924.motifcount
18,118,0,68,134,478,0,0,0,3,170,16,398,63,398,0,1332,./motifs/925.motifcount
17,119,0,31,193,456,0,0,0,1,20,41,898,62,288,0,1070,./motifs/926.motifcount
16,120,0,36,168,476,0,0,0,0,34,36,714,48,330,0,1218,./motifs/928.motifcount
16,120,0,36,168,476,0,0,0,0,56,56,840,28,224,0,1176,./motifs/929.motifcount
16,120,0,120,0,560,0,0,0,0,560,0,0,0,0,0,1820,./motifs/930.motifcount
16,120,0,32,176,472,0,0,0,0,26,36,794,52,298,0,1174,./motifs/931.motifcount
16,120,0,32,176,472,0,0,0,0,26,36,794,52,298,0,1174,./motifs/932.motifcount
21,115,4,31,241,404,0,2,10,4,10,31,1058,114,302,42,807,./motifs/933.motifcount
16,104,0,44,135,381,0,0,0,1,84,62,595,11,198,0,869,./motifs/934.motifcount
29,107,0,118,199,363,0,0,0,57,173,128,524,46,649,0,803,./motifs/935.motifcount
18,118,0,50,170,460,0,0,0,2,76,56,696,43,352,0,1155,./motifs/936.motifcount
16,120,0,28,184,468,0,0,0,0,21,39,892,53,251,0,1124,./motifs/937.motifcount
16,120,0,36,168,476,0,0,0,0,34,36,714,48,330,0,1218,./motifs/938.motifcount
16,120,0,49,142,489,0,0,0,0,80,36,514,35,374,0,1341,./motifs/939.motifcount
16,120,0,58,124,498,0,0,0,0,119,14,331,48,427,0,1441,./motifs/940.motifcount
16,120,0,76,88,516,0,0,0,0,230,44,286,0,286,0,1534,./motifs/941.motifcount
16,120,0,61,118,501,0,0,0,0,140,14,316,45,406,0,1459,./motifs/942.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/943.motifcount
16,104,0,74,76,410,0,0,0,1,224,44,252,0,198,0,1101,./motifs/944.motifcount
16,104,0,29,166,365,0,0,0,1,21,35,696,54,240,0,773,./motifs/945.motifcount
16,104,0,29,166,365,0,0,0,1,24,44,732,45,213,0,761,./motifs/946.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/947.motifcount
17,103,0,37,164,359,0,0,0,3,40,35,636,58,279,0,769,./motifs/948.motifcount
16,104,1,20,181,358,0,0,3,0,5,25,808,69,189,10,711,./motifs/949.motifcount
15,105,0,60,90,410,0,0,0,0,166,31,306,14,220,0,1083,./motifs/950.motifcount
16,104,0,22,180,358,0,0,0,0,6,32,802,66,204,0,710,./motifs/951.motifcount
16,104,0,32,160,368,0,0,0,1,25,36,639,50,265,0,804,./motifs/952.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/953.motifcount
15,105,0,92,26,442,0,0,0,0,364,13,78,0,78,0,1287,./motifs/954.motifcount
28,92,8,77,214,261,0,4,52,27,93,22,537,141,458,44,442,./motifs/955.motifcount
19,101,1,38,187,334,0,0,7,1,22,54,713,67,302,6,648,./motifs/956.motifcount
16,104,0,19,186,355,0,0,0,1,3,20,837,79,194,0,686,./motifs/957.motifcount
17,103,0,46,146,368,0,0,0,2,67,39,505,47,311,0,849,./motifs/958.motifcount
15,105,0,50,110,400,0,0,0,0,91,13,267,42,351,0,1056,./motifs/959.motifcount
21,99,0,63,168,329,0,0,0,21,77,84,630,21,336,0,651,./motifs/960.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/961.motifcount
15,105,0,21,168,371,0,0,0,0,11,30,774,54,180,0,771,./motifs/962.motifcount
15,105,0,30,150,380,0,0,0,0,25,25,585,50,265,0,870,./motifs/963.motifcount
15,105,0,18,174,368,0,0,0,0,4,24,807,63,174,0,748,./motifs/964.motifcount
15,105,0,33,144,383,0,0,0,0,31,24,528,48,288,0,901,./motifs/965.motifcount
25,95,2,81,182,295,0,1,13,17,129,95,547,69,380,11,558,./motifs/966.motifcount
15,105,0,33,144,383,0,0,0,0,31,24,528,48,288,0,901,./motifs/967.motifcount
15,105,0,20,170,370,0,0,0,0,10,25,780,60,180,0,765,./motifs/969.motifcount
15,105,0,35,140,385,0,0,0,0,56,49,630,21,189,0,875,./motifs/970.motifcount
15,105,0,60,90,410,0,0,0,0,166,31,306,14,220,0,1083,./motifs/971.motifcount
15,105,0,49,112,399,0,0,0,0,95,40,384,16,272,0,1013,./motifs/972.motifcount
15,105,0,42,126,392,0,0,0,0,67,24,420,39,297,0,973,./motifs/973.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/974.motifcount
15,105,0,33,144,383,0,0,0,0,31,40,576,32,256,0,885,./motifs/975.motifcount
17,103,2,70,92,396,0,1,1,0,220,24,275,33,198,23,1045,./motifs/976.motifcount
17,103,0,64,110,386,0,0,0,1,166,44,377,26,242,0,964,./motifs/977.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/979.motifcount
15,105,0,33,144,383,0,0,0,0,31,24,528,48,288,0,901,./motifs/980.motifcount
24,96,2,64,202,292,0,0,12,8,60,98,628,80,400,14,520,./motifs/981.motifcount
18,102,0,44,164,352,0,0,0,6,60,46,642,51,276,0,739,./motifs/982.motifcount
16,104,0,22,180,358,0,0,0,1,8,28,804,68,202,0,709,./motifs/983.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/984.motifcount
15,105,0,60,90,410,0,0,0,0,166,24,285,21,234,0,1090,./motifs/985.motifcount
14,91,0,34,113,308,0,0,0,0,56,49,467,7,148,0,638,./motifs/986.motifcount
22,98,3,52,195,310,0,3,2,7,62,63,661,85,326,31,580,./motifs/987.motifcount
15,105,0,46,118,396,0,0,0,0,89,48,462,11,235,0,975,./motifs/988.motifcount
16,104,0,42,140,378,0,0,0,0,56,30,466,48,318,0,902,./motifs/989.motifcount
16,104,0,28,168,364,0,0,0,1,22,32,714,58,230,0,763,./motifs/990.motifcount
16,104,0,37,150,373,0,0,0,1,45,52,627,29,238,0,828,./motifs/991.motifcount
18,102,0,32,188,340,0,0,0,6,18,28,750,81,282,0,655,./motifs/992.motifcount
15,105,0,33,144,383,0,0,0,0,31,24,528,48,288,0,901,./motifs/993.motifcount
15,105,0,30,150,380,0,0,0,0,36,43,672,32,196,0,841,./motifs/994.motifcount
15,105,0,33,144,383,0,0,0,0,31,24,528,48,288,0,901,./motifs/995.motifcount
15,105,0,24,162,374,0,0,0,0,15,34,726,47,199,0,799,./motifs/996.motifcount
15,105,0,33,144,383,0,0,0,0,31,24,528,48,288,0,901,./motifs/997.motifcount
17,103,0,46,146,368,0,0,0,2,84,60,619,26,218,0,811,./motifs/998.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/999.motifcount
19,101,0,46,174,340,0,0,0,10,37,67,675,38,313,0,680,./motifs/1000.motifcount
15,105,0,45,120,395,0,0,0,0,88,17,390,43,287,0,995,./motifs/1001.motifcount
16,104,0,31,162,367,0,0,0,0,24,34,646,55,263,0,798,./motifs/1002.motifcount
20,100,0,43,194,323,0,0,0,9,31,44,705,85,342,0,604,./motifs/1003.motifcount
15,105,0,33,144,383,0,0,0,0,31,24,528,48,288,0,901,./motifs/1004.motifcount
15,105,0,41,128,391,0,0,0,0,55,40,456,24,288,0,957,./motifs/1005.motifcount
16,104,0,43,138,379,0,0,0,1,66,45,525,30,267,0,886,./motifs/1006.motifcount
20,100,0,53,174,333,0,0,0,15,60,34,570,73,381,0,687,./motifs/1007.motifcount
15,105,0,42,126,392,0,0,0,0,84,34,501,29,226,0,946,./motifs/1008.motifcount
15,105,0,24,162,374,0,0,0,0,15,30,714,51,207,0,803,./motifs/1009.motifcount
15,105,0,34,142,384,0,0,0,0,41,45,597,26,229,0,882,./motifs/1010.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/1011.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/1012.motifcount
17,103,2,19,194,345,0,1,1,0,5,26,860,82,176,23,646,./motifs/1013.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/1014.motifcount
15,105,0,36,138,386,0,0,0,0,40,45,546,24,258,0,907,./motifs/1015.motifcount
15,105,0,20,170,370,0,0,0,0,10,25,780,60,180,0,765,./motifs/1016.motifcount
15,105,0,105,0,455,0,0,0,0,455,0,0,0,0,0,1365,./motifs/1017.motifcount
21,99,0,50,194,316,0,0,0,6,46,60,657,88,368,0,595,./motifs/1018.motifcount
19,101,2,25,210,323,0,1,1,1,7,36,872,99,224,23,556,./motifs/1019.motifcount
16,104,0,33,158,369,0,0,0,1,37,38,657,47,238,0,802,./motifs/1022.motifcount
20,100,4,22,224,310,0,2,2,1,5,28,915,120,203,46,498,./motifs/1023.motifcount
15,90,0,22,151,282,0,0,0,1,11,28,601,53,171,0,500,./motifs/1024.motifcount
16,89,2,34,134,285,0,1,6,0,50,47,530,25,150,16,540,./motifs/1025.motifcount
17,88,0,27,167,261,0,0,0,4,10,27,603,74,224,0,423,./motifs/1026.motifcount
14,91,0,25,132,298,0,0,0,0,22,34,528,32,166,0,583,./motifs/1027.motifcount
14,91,0,79,24,352,0,0,0,0,286,12,66,0,66,0,935,./motifs/1028.motifcount
15,90,0,26,143,286,0,0,0,1,21,28,543,49,189,0,534,./motifs/1029.motifcount
14,91,0,43,96,316,0,0,0,0,70,12,210,36,282,0,755,./motifs/1030.motifcount
18,87,2,25,178,250,0,1,2,2,8,30,637,84,202,20,379,./motifs/1031.motifcount
15,90,0,43,109,303,0,0,0,1,84,32,370,28,196,0,654,./motifs/1032.motifcount
16,89,0,42,124,289,0,0,0,3,61,46,429,26,217,0,583,./motifs/1033.motifcount
